0 ; 68
3 ; 395
6 ; 693
9 ; 966
13 ; 1228
16 ; 1459
19 ; 1670
22 ; 1857
25 ; 2032
28 ; 2187
31 ; 2337
35 ; 2473
38 ; 2599
41 ; 2712
44 ; 2810
47 ; 2896
50 ; 2980
53 ; 3071
56 ; 3136
60 ; 3198
63 ; 3259
66 ; 3311
69 ; 3358
72 ; 3409
75 ; 3456
78 ; 3486
81 ; 3522
85 ; 3553
88 ; 3583
91 ; 3616
94 ; 3632
97 ; 3661
100 ; 3692
103 ; 3696
107 ; 3712
110 ; 3730
113 ; 3747
116 ; 3763
119 ; 3774
122 ; 3785
125 ; 3796
128 ; 3809
132 ; 3813
135 ; 3823
138 ; 3824
141 ; 3834
144 ; 3840
147 ; 3841
150 ; 3849
153 ; 3852
