t;N
ms;_
5 ; 260
9 ; 778
13 ; 1253
16 ; 1716
20 ; 2163
24 ; 2609
28 ; 3032
32 ; 3445
36 ; 3846
40 ; 4241
43 ; 4621
47 ; 4989
51 ; 5347
55 ; 5694
59 ; 6033
63 ; 6363
67 ; 6681
70 ; 7000
74 ; 7302
78 ; 7597
82 ; 7881
86 ; 8159
90 ; 8429
93 ; 8691
97 ; 8947
101 ; 9193
105 ; 9435
109 ; 9669
113 ; 9897
116 ; 10119
120 ; 10335
124 ; 10547
128 ; 10751
132 ; 10952
136 ; 11144
