t;N
ms;
5 ; 1553
9 ; 4229
13 ; 6379
16 ; 8192
20 ; 9717
24 ; 11032
28 ; 12111
32 ; 13019
36 ; 13786
39 ; 14441
43 ; 14983
47 ; 15441
51 ; 15826
55 ; 16150
59 ; 16424
62 ; 16656
66 ; 16850
70 ; 17016
74 ; 17153
78 ; 17270
82 ; 17369
85 ; 17452
89 ; 17520
93 ; 17580
97 ; 17628
101 ; 17670
104 ; 17707
108 ; 17736
112 ; 17760
116 ; 17782
120 ; 17800
124 ; 17816
128 ; 17828
131 ; 17839
135 ; 17848
139 ; 17856
143 ; 17861
147 ; 17868
150 ; 17873
154 ; 17877
